亲和美园 大产权 电梯房 可以贷款必看好房,2室1厅 | 75.16平米 | 西南 | 毛坯 | 高楼层(共23层) | 板楼,45万5,988元/平
北苑电梯洋房 一楼带院精装好房拎包入住必看好房,3室1厅 | 123.54平米 | 南 北 | 精装 | 低楼层(共6层) | 板楼,185万14,975元/平
美域兰庭九层小高 一梯两户 满五年 精装修 产权清晰必看好房,2室2厅 | 98.04平米 | 南 北 | 精装 | 高楼层(共9层) | 板楼,184万18,768元/平
五期酩悦,精装三室小区中间位置,中楼层,有钥匙随时看必看好房,3室2厅 | 88.85平米 | 南 北 | 精装 | 8层 | 板楼,134万15,082元/平
梅江康城电梯房 低楼层 边户 靠小区门口出行便利必看好房,2室1厅 | 88.86平米 | 南 西 北 | 其他 | 低楼层(共24层) | 板楼,98万11,029元/平
珑园一期精装修三室，好楼位采光好，通透户型唯一必看好房,3室2厅 | 154.01平米 | 南 北 | 精装 | 22层 | 板塔结合,166万10,779元/平
万科翡翠嘉和 通透三室 有车位 家具家电可议必看好房,3室2厅 | 103.85平米 | 南 北 | 精装 | 25层 | 板楼,200万19,259元/平
只要给价就能谈，一步梅江。业主着急必看好房,2室1厅 | 75.16平米 | 西南 | 毛坯 | 高楼层(共23层) | 板楼,45万5,988元/平
佳和雅庭 2室1厅 南 北必看好房,2室1厅 | 70.98平米 | 南 北 | 精装 | 中楼层(共28层) | 塔楼,54万7,608元/平
顺通家园一室户型方正 出行便利 配套设施齐全必看好房,1室1厅 | 53.09平米 | 南 | 其他 | 高楼层(共18层) | 板楼,50万9,418元/平
视野开阔 采光充足 不靠后 配套成熟 医院地铁成熟必看好房,2室1厅 | 78.65平米 | 南 | 简装 | 高楼层(共6层) | 板楼,75万9,536元/平
金谊花园 两室一厅 好楼层 毛坯房 价格可议必看好房,2室1厅 | 81.76平米 | 东 南 | 其他 | 高楼层(共26层) | 塔楼,57万6,972元/平
顺通家园 环内电梯房 采光视野好 第1次交易 随时过户必看好房,1室1厅 | 53.93平米 | 南 | 简装 | 中楼层(共26层) | 板楼,46万8,530元/平
